business_name,area,rating,reviews,yelp_url,category
Morton Plumbing Heating & Cooling,Nashville,4.1,78,/biz/morton-plumbing-heating-and-cooling-nashville,HVAC
Heritage Heating & Cooling,Franklin,4.7,77,/biz/heritage-heating-and-cooling-franklin-5,HVAC
Taylor Home Solutions,Nashville,5.0,76,/biz/taylor-home-solutions-nashville,Air Duct Cleaning
Airstream Services,Murfreesboro,4.2,74,/biz/airstream-services-murfreesboro,HVAC
Lee Company,Nashville,2.5,51,/biz/lee-company-nashville-4,HVAC
Mike Cross Heating & Cooling,La Vergne,4.9,44,/biz/mike-cross-heating-and-cooling-la-vergne,HVAC
Hoffmann Brothers,Nashville,3.3,35,/biz/hoffmann-brothers-nashville,HVAC
Maynard,Nashville,2.4,32,/biz/maynard-nashville-6,HVAC
Roscoe Brown,Nashville,4.3,30,/biz/roscoe-brown-nashville,HVAC
Cumberland Cooling,Nashville,4.8,26,/biz/cumberland-cooling-nashville-2,HVAC
